CITY,y,x,num_people
Абакан,53°43’,91°26’,187
Альметьевск,54°54’,52°18’,158
Ангарск,52°34’,103°55’,225
Арзамас,55.38,43.87,104
Армавир,45°00’,41°07’,189
Артём,43.37,132.2,106
Архангельск,64°32’,40°32’,347
Астрахань,46°22’,48°5’,530
Ачинск,56.3,90.52,106
Барнаул,53°21’,83°45’,632
Батайск,47.12,39.75,128
Белгород,50°37’,36°35’,394
Бердск,54.77,83.08,104
Березники,59.38,56.77,139
Бийск,52°32’,85°10’,199
Благовещенск,50°18’,127°31’,226
Братск,56°18’,101°43’,226
Брянск,53°16’,34°25’,403
Великий Новгород,58°32’,31°16’,225
Владивосток,43°8’,131°54’,607
Владикавказ,43°2’,44°40’,304
Владимир,56°9’,40°25’,357
Волгоград,48°43’,44°29’,1009
Волгодонск,47°32’,42°12’,171
Волжский,48°49’,44°44’,324
Вологда,59°14’,39°54’,310
Воронеж,51°43’,39°16’,1058
Грозный,43°18’,45°42’,306
Дзержинск,56°16’,43°24’,229
Димитровград,54.22,49.63,113
Долгопрудный,55.9333,37.5142,116
Домодедово,55.4372,37.768,137
Евпатория,45.1906,33.3676,108
Екатеринбург,56°51’,60°36’,1494
Жуковский,55.5975,38.1198,108
Зеленодольск,55.83,48.5,100
Златоуст,55°10’,59°40’,164
Иваново,57°1’,40°59’,405
Ижевск,56°50’,53°11’,648
Иркутск,52°20’,104°14’,624
Йошкар-Ола,56°38’,47°52’,275
Казань,55°47’,49°10’,1257
Калининград,54°43’,20°31’,489
Калуга,54°32’,36°17’,332
Каменск-Уральский,56°24’,61°54’,166
Камышин,50.08,45.4,110
Каспийск,42.9,47.62,124
Кемерово,55°25’,86°5’,556
Киров,58°36’,49°39’,518
Кисловодск,43.91,42.71,129
Ковров,56.37,41.35,136
Коломна,55.1,38.77,140
Комсомольск-на-Амуре,50°34’,137°0’,245
Копейск,55°06’,61°37’,148
Королев,55°54’,37°51’,226
Кострома,57°46’,40°56’,277
Красногорск,55°49’,37°20’,176
Краснодар,45°2’,38°58’,933
Красноярск,56°1’,93°4’,1094
Курган,55°26’,65°19’,312
Курск,51°44’,36°11’,453
Кызыл,51.7,94.42,119
Липецк,52°37’,39°37’,509
Люберцы,55°40’,37°53’,205
Магнитогорск,53°25’,58°58’,413
Майкоп,44.6,40.1,141
Махачкала,42°59’,47°31’,604
Москва,55°45’,37°37’,12678
Мурманск,68°58’,33°5’,288
Муром,55.57,42,107
Мытищи,55°55’,37°44’,236
Набережные Челны,55°41’,52°19’,534
Назрань,43.2314,44.7685,122
Нальчик,43°29’,43°37’,240
Находка,42°49’,132°53’,145
Невинномысск,44.62,41.97,117
Нефтекамск,61.1,72.62,131
Нефтеюганск,61.1,72.62,127
Нижневартовск,60°56’,76°32’,278
Нижнекамск,55°38’,51°47’,240
Нижний Новгород,56°18’,44°0’,1252
Нижний Тагил,57°56’,60°1’,349
Новокузнецк,53°45’,87°7’,549
Новокуйбышевск,52.98,49.68,100
Новомосковск,54.08,38.25,122
Новороссийск,44°42’,37°44’,275
Новосибирск,55°1’,82°56’,1626
Новочебоксарск,56.12,47.5,127
Новочеркасск,47.42,40.07,168
Новошахтинск,47.78,39.88,107
Новый Уренгой,66.08,76.67,118
Ногинск      ,57.55,49.95,104
Норильск,69°21’,88°12’,182
Ноябрьск,63.15,75.35,107
Обнинск,55.1,36.6,117
Одинцово,55.68,37.27,136
Октябрьский,54.48,53.45,114
Омск,54°59’,73°22’,1155
Орел,52°58’,36°4’,309
Оренбург,51°47’,55°6’,572
Орехово-Зуево,55.82,38.98,118
Орск,51°13’,58°38’,227
Пенза,53°12’,45°0’,520
Первоуральск,56°54’,59°55’,121
Пермь,58°0’,56°14’,1055
Петрозаводск,61°47’,34°20’,281
Петропавловск-Камчатский,53.02,158.65,180
Подольск,55°25’,37°32’,308
Прокопьевск,53°54’,86°43’,190
Псков,57°48’,28°20’,210
Пушкино,56.0113,37.8472,108
Пятигорск,44.05,43.1,148
Раменское,55.5677,38.2259,122
